name,type,url,global_id,description,published_at,publisher,citationHtml,identifier_of_dataverse,name_of_dataverse,citation,publicationStatuses,storageIdentifier,keywords,subjects,fileCount,versionId,versionState,majorVersion,minorVersion,createdAt,updatedAt,contacts,authors,publications,geographicCoverage,dataSources,installation,installation_url
"Will County, IL",dataset,https://doi.org/10.5072/FK2/Y0EDKJ,doi:10.5072/FK2/Y0EDKJ,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-20T20:44:44Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Will County, IL"", <a href=""https://doi.org/10.5072/FK2/Y0EDKJ"" target=""_blank"">https://doi.org/10.5072/FK2/Y0EDKJ</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Will County, IL"", https://doi.org/10.5072/FK2/Y0EDKJ, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/Y0EDKJ,"['tree canopy', 'tree canopy change', 'landcover', 'Will County, IL', 'Chicago Region', 'Illinois']",['Earth and Environmental Sciences'],3,47,RELEASED,1,0,2025-08-20T20:44:21Z,2025-08-20T20:44:44Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"New York City, NY",dataset,https://doi.org/10.5072/FK2/ZVFMT2,doi:10.5072/FK2/ZVFMT2,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-22T20:34:27Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""New York City, NY"", <a href=""https://doi.org/10.5072/FK2/ZVFMT2"" target=""_blank"">https://doi.org/10.5072/FK2/ZVFMT2</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""New York City, NY"", https://doi.org/10.5072/FK2/ZVFMT2, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/ZVFMT2,"['tree canopy', 'tree canopy change', 'landcover', 'New York City, NY']",['Earth and Environmental Sciences'],3,48,RELEASED,1,0,2025-08-22T14:08:44Z,2025-08-22T20:34:27Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
Vermont Statewide,dataset,https://doi.org/10.5072/FK2/DO5DY5,doi:10.5072/FK2/DO5DY5,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-22T20:35:34Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Vermont Statewide"", <a href=""https://doi.org/10.5072/FK2/DO5DY5"" target=""_blank"">https://doi.org/10.5072/FK2/DO5DY5</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Vermont Statewide"", https://doi.org/10.5072/FK2/DO5DY5, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/DO5DY5,"['tree canopy', 'landcover', 'Vermont', 'statewide']",['Earth and Environmental Sciences'],3,49,RELEASED,1,0,2025-08-22T15:29:07Z,2025-08-22T20:35:34Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],[{}],[{'country': ''}],,uvm,https://dataverse.uvm.edu
Canada Capital Region (ON and QC),dataset,https://doi.org/10.5072/FK2/FOUWKM,doi:10.5072/FK2/FOUWKM,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-22T20:39:01Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Canada Capital Region (ON and QC)"", <a href=""https://doi.org/10.5072/FK2/FOUWKM"" target=""_blank"">https://doi.org/10.5072/FK2/FOUWKM</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Canada Capital Region (ON and QC)"", https://doi.org/10.5072/FK2/FOUWKM, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/FOUWKM,"['tree canopy', 'tree canopy change', 'landcover', 'Canada Capital Region', 'Ontario', 'Quebec']",['Earth and Environmental Sciences'],3,55,RELEASED,1,0,2025-08-22T19:33:13Z,2025-08-22T20:39:01Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Providence, RI",dataset,https://doi.org/10.5072/FK2/ELKAR3,doi:10.5072/FK2/ELKAR3,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-22T20:40:10Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Providence, RI"", <a href=""https://doi.org/10.5072/FK2/ELKAR3"" target=""_blank"">https://doi.org/10.5072/FK2/ELKAR3</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Providence, RI"", https://doi.org/10.5072/FK2/ELKAR3, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/ELKAR3,"['tree canopy', 'tree canopy change', 'landcover', 'Providence, RI', 'Rhode Island']",['Earth and Environmental Sciences'],3,57,RELEASED,1,0,2025-08-22T20:17:38Z,2025-08-22T20:40:10Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Ferguson Township, PA",dataset,https://doi.org/10.5072/FK2/8MJKIH,doi:10.5072/FK2/8MJKIH,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-22T20:40:32Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Ferguson Township, PA"", <a href=""https://doi.org/10.5072/FK2/8MJKIH"" target=""_blank"">https://doi.org/10.5072/FK2/8MJKIH</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Ferguson Township, PA"", https://doi.org/10.5072/FK2/8MJKIH, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/8MJKIH,"['tree canopy', 'tree canopy change', 'landcover', 'Ferguson Township, PA', 'Pennsylvania']",['Earth and Environmental Sciences'],3,58,RELEASED,1,0,2025-08-22T20:29:14Z,2025-08-22T20:40:32Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Philadelphia, PA",dataset,https://doi.org/10.5072/FK2/VHMLWT,doi:10.5072/FK2/VHMLWT,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-25T19:42:01Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Philadelphia, PA"", <a href=""https://doi.org/10.5072/FK2/VHMLWT"" target=""_blank"">https://doi.org/10.5072/FK2/VHMLWT</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Philadelphia, PA"", https://doi.org/10.5072/FK2/VHMLWT, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/VHMLWT,"['tree canopy', 'tree canopy change', 'landcover', 'Philadelphia, PA', 'Pennsylvania']",['Earth and Environmental Sciences'],3,61,RELEASED,1,0,2025-08-25T15:30:14Z,2025-08-25T19:42:01Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Virginia Beach, VA",dataset,https://doi.org/10.5072/FK2/WYX9NL,doi:10.5072/FK2/WYX9NL,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-25T19:42:40Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Virginia Beach, VA"", <a href=""https://doi.org/10.5072/FK2/WYX9NL"" target=""_blank"">https://doi.org/10.5072/FK2/WYX9NL</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Virginia Beach, VA"", https://doi.org/10.5072/FK2/WYX9NL, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/WYX9NL,"['tree canopy', 'tree canopy change', 'landcover', 'Virginia Beach, VA', 'Virginia']",['Earth and Environmental Sciences'],3,62,RELEASED,1,0,2025-08-25T16:03:18Z,2025-08-25T19:42:40Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Fairfax County, VA",dataset,https://doi.org/10.5072/FK2/GMYXAC,doi:10.5072/FK2/GMYXAC,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-25T19:44:44Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Fairfax County, VA"", <a href=""https://doi.org/10.5072/FK2/GMYXAC"" target=""_blank"">https://doi.org/10.5072/FK2/GMYXAC</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Fairfax County, VA"", https://doi.org/10.5072/FK2/GMYXAC, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/GMYXAC,"['tree canopy', 'tree canopy change', 'landcover', 'landcover change', 'Fairfax County, VA', 'Virginia']",['Earth and Environmental Sciences'],3,65,RELEASED,1,0,2025-08-25T19:18:21Z,2025-08-25T19:44:44Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Kitchener, ON",dataset,https://doi.org/10.5072/FK2/OOLKFF,doi:10.5072/FK2/OOLKFF,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-25T19:45:36Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Kitchener, ON"", <a href=""https://doi.org/10.5072/FK2/OOLKFF"" target=""_blank"">https://doi.org/10.5072/FK2/OOLKFF</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Kitchener, ON"", https://doi.org/10.5072/FK2/OOLKFF, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/OOLKFF,"['tree canopy', 'tree canopy change', 'landcover', 'Kitchener, ON', 'Ontario']",['Earth and Environmental Sciences'],3,66,RELEASED,1,0,2025-08-25T19:29:11Z,2025-08-25T19:45:36Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Thurston County, WA",dataset,https://doi.org/10.5072/FK2/AFYOTC,doi:10.5072/FK2/AFYOTC,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-07T17:57:02Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Thurston County, WA"", <a href=""https://doi.org/10.5072/FK2/AFYOTC"" target=""_blank"">https://doi.org/10.5072/FK2/AFYOTC</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Thurston County, WA"", https://doi.org/10.5072/FK2/AFYOTC, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/AFYOTC,"['tree canopy', 'tree canopy change', 'landcover', 'Olympia, WA', 'Thurston County, WA']",['Earth and Environmental Sciences'],4,12,RELEASED,1,0,2025-07-28T19:45:13Z,2025-08-07T17:57:02Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Seattle, WA",dataset,https://doi.org/10.5072/FK2/3NFNSL,doi:10.5072/FK2/3NFNSL,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-07T18:04:55Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Seattle, WA"", <a href=""https://doi.org/10.5072/FK2/3NFNSL"" target=""_blank"">https://doi.org/10.5072/FK2/3NFNSL</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Seattle, WA"", https://doi.org/10.5072/FK2/3NFNSL, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/3NFNSL,"['tree canopy', 'tree canopy change', 'landcover', 'Seattle, WA']",['Earth and Environmental Sciences'],4,15,RELEASED,1,0,2025-07-29T14:49:20Z,2025-08-07T18:04:55Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Lancaster, PA",dataset,https://doi.org/10.5072/FK2/ZWH7TY,doi:10.5072/FK2/ZWH7TY,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-07T17:57:16Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Lancaster, PA"", <a href=""https://doi.org/10.5072/FK2/ZWH7TY"" target=""_blank"">https://doi.org/10.5072/FK2/ZWH7TY</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Lancaster, PA"", https://doi.org/10.5072/FK2/ZWH7TY, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/ZWH7TY,"['tree canopy', 'tree canopy change', 'landcover', 'Lancaster, PA']",['Earth and Environmental Sciences'],4,27,RELEASED,1,1,2025-08-07T17:57:02Z,2025-08-07T20:06:05Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],[{}],[{'country': ''}],,uvm,https://dataverse.uvm.edu
"Edmonds, WA",dataset,https://doi.org/10.5072/FK2/UL0FVX,doi:10.5072/FK2/UL0FVX,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-07T17:58:21Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Edmonds, WA"", <a href=""https://doi.org/10.5072/FK2/UL0FVX"" target=""_blank"">https://doi.org/10.5072/FK2/UL0FVX</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Edmonds, WA"", https://doi.org/10.5072/FK2/UL0FVX, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/UL0FVX,"['tree canopy', 'tree canopy change', 'landcover', 'Edmonds, WA']",['Earth and Environmental Sciences'],3,25,RELEASED,1,1,2025-08-07T14:55:20Z,2025-08-07T20:03:36Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],[{}],[{'country': ''}],,uvm,https://dataverse.uvm.edu
"Jefferson County, KY",dataset,https://doi.org/10.5072/FK2/NKQE7K,doi:10.5072/FK2/NKQE7K,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-07T17:58:59Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Jefferson County, KY"", <a href=""https://doi.org/10.5072/FK2/NKQE7K"" target=""_blank"">https://doi.org/10.5072/FK2/NKQE7K</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Jefferson County, KY"", https://doi.org/10.5072/FK2/NKQE7K, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/NKQE7K,"['tree canopy', 'tree canopy change', 'landcover', 'Louisville, KY', 'Jefferson County, KY']",['Earth and Environmental Sciences'],3,21,RELEASED,1,0,2025-08-07T15:58:24Z,2025-08-07T17:58:59Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Hamilton County, OH",dataset,https://doi.org/10.5072/FK2/ACKSDU,doi:10.5072/FK2/ACKSDU,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-07T17:57:44Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Hamilton County, OH"", <a href=""https://doi.org/10.5072/FK2/ACKSDU"" target=""_blank"">https://doi.org/10.5072/FK2/ACKSDU</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Hamilton County, OH"", https://doi.org/10.5072/FK2/ACKSDU, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/ACKSDU,"['tree canopy', 'tree canopy change', 'landcover', 'Hamilton County, OH', 'Cincinnati, OH']",['Earth and Environmental Sciences'],3,26,RELEASED,1,1,2025-08-07T17:18:50Z,2025-08-07T20:04:44Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],[{}],[{'country': ''}],,uvm,https://dataverse.uvm.edu
"Tampa, FL",dataset,https://doi.org/10.5072/FK2/WSBBJO,doi:10.5072/FK2/WSBBJO,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-07T20:16:54Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Tampa, FL"", <a href=""https://doi.org/10.5072/FK2/WSBBJO"" target=""_blank"">https://doi.org/10.5072/FK2/WSBBJO</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Tampa, FL"", https://doi.org/10.5072/FK2/WSBBJO, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/WSBBJO,"['tree canopy', 'tree canopy change', 'landcover', 'Tampa, FL']",['Earth and Environmental Sciences'],3,29,RELEASED,1,0,2025-08-07T20:15:44Z,2025-08-07T20:16:54Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],[{}],[{'country': ''}],,uvm,https://dataverse.uvm.edu
"Annapolis, MD",dataset,https://doi.org/10.5072/FK2/NSI6FJ,doi:10.5072/FK2/NSI6FJ,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-20T20:27:58Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Annapolis, MD"", <a href=""https://doi.org/10.5072/FK2/NSI6FJ"" target=""_blank"">https://doi.org/10.5072/FK2/NSI6FJ</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Annapolis, MD"", https://doi.org/10.5072/FK2/NSI6FJ, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/NSI6FJ,"['tree canopy', 'tree canopy change', 'landcover', 'Annapolis, MD']",['Earth and Environmental Sciences'],3,40,RELEASED,1,0,2025-08-13T15:18:31Z,2025-08-20T20:27:58Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
"Cook County, IL",dataset,https://doi.org/10.5072/FK2/GA2SVS,doi:10.5072/FK2/GA2SVS,"This dataset was developed as part of an Urban Tree Canopy Assessment. As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class. At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area based on input data years.",2025-08-20T20:28:38Z,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Cook County, IL"", <a href=""https://doi.org/10.5072/FK2/GA2SVS"" target=""_blank"">https://doi.org/10.5072/FK2/GA2SVS</a>, University of Vermont Dataverse, V1",utc,Urban Tree Canopy Assessments (UTC),"Spatial Analysis Lab, 2025, ""Cook County, IL"", https://doi.org/10.5072/FK2/GA2SVS, University of Vermont Dataverse, V1",['Published'],file://10.5072/FK2/GA2SVS,"['tree canopy', 'tree canopy change', 'landcover', 'Cook County, IL', 'Chicago Region', 'Illinois']",['Earth and Environmental Sciences'],3,41,RELEASED,1,0,2025-08-20T13:43:46Z,2025-08-20T20:28:38Z,"[{'name': 'Paige Brochu', 'affiliation': 'Spatial Analysis Lab University of Vermont'}]",['Spatial Analysis Lab'],,,,uvm,https://dataverse.uvm.edu
